區域,季別,成交日,路段,編號,社區棟別,門牌,型態,交易標的,樓層,格局,坪數,總價萬,單價萬每坪,屋齡,完工年月,車位,備註
高鐵特區,114S1,2024-05-31,嘉豐南路二段,RPTOMLTLPHJGFBJ96DA,嘉豐南路二段３５號,新竹縣竹北市嘉豐南路二段３５號八樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,八層/十層,3房2廳2衛,50.9,3427,81.8,-0.4,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-05-31,嘉豐南路二段,RPUPMLTLPHJGFBJ17DA,嘉豐南路二段３３號,新竹縣竹北市嘉豐南路二段３３號九樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,九層/十層,4房2廳2衛,55.9,3884,82.7,-0.4,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-05-31,嘉豐南路二段,RPSOMLPLRHJGFBJ66DA,嘉豐南路二段３３號,新竹縣竹北市嘉豐南路二段３３號八樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,八層/十層,4房2廳2衛,55.9,3854,81.9,-0.4,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-05-31,嘉豐南路二段,RPVOMLTLPHJGFBJ17DA,嘉豐南路二段３５號,新竹縣竹北市嘉豐南路二段３５號十樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,十層/十層,3房2廳2衛,50.9,3465,82.4,-0.4,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-02,嘉豐南路二段,RPVPMLTLPHJGFBJ27DA,嘉豐南路二段３３號,新竹縣竹北市嘉豐南路二段３３號十樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,十層/十層,4房2廳2衛,55.9,3924,83.4,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-03,嘉豐南路二段,RPVQMLTLPHJGFBJ37DA,嘉豐南路二段３１號,新竹縣竹北市嘉豐南路二段３１號五樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,五層/十層,3房2廳2衛,51.1,3282,77.4,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-03,嘉豐南路二段,RPORMLTLPHJGFBJ76DA,嘉豐南路二段３１號,新竹縣竹北市嘉豐南路二段３１號八樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,八層/十層,3房2廳2衛,51.1,3377,79.8,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-06,嘉豐南路二段,RPROMLTLPHJGFBJ76DA,嘉豐南路二段３５號,新竹縣竹北市嘉豐南路二段３５號六樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,六層/十層,3房2廳2衛,50.9,3425,81.5,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-06,嘉豐北路,RPRNMLTLJIJGFBJ78DA,嘉豐北路２２號,新竹縣竹北市嘉豐北路２２號九樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,九層/二十三層,1房1廳1衛,25.2,1630,64.6,4.7,2019-10-14,坡道機械,
高鐵特區,114S1,2024-06-07,嘉豐南路二段,RPPRMLTLPHJGFBJ86DA,嘉豐南路二段３１號,新竹縣竹北市嘉豐南路二段３１號九樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,九層/十層,3房2廳2衛,51.1,3411,80.7,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-07,嘉豐南路二段,RPQRMLTLPHJGFBJ96DA,嘉豐南路二段３１號,新竹縣竹北市嘉豐南路二段３１號十樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,十層/十層,3房2廳2衛,51.1,3400,80.4,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,113S4,2024-06-09,光明六路東二段,RPROMLOKJIJGFBJ28DA,光明六路東二段４０９號,新竹縣竹北市光明六路東二段４０９號十九樓之七,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十九層/二十四層,3房2廳2衛,54.0,3650,67.6,0.7,2023-10-30,坡道平面,
高鐵特區,114S1,2024-06-09,嘉豐南路二段,RPUQMLTLPHJGFBJ27DA,嘉豐南路二段３１號,新竹縣竹北市嘉豐南路二段３１號四樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,四層/十層,3房2廳2衛,51.1,3292,77.8,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S2,2024-06-10,高鐵九路,RPSOMLSKMHKGFBJ09DA,高鐵九路１６９號,新竹縣竹北市高鐵九路１６９號三樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,三層/七層,3房2廳2衛,53.8,3240,66.6,-0.7,2025-02-27,一樓平面,預售屋、或土地及建物分件登記案件；
高鐵特區,113S4,2024-06-16,光明六路東二段,RPUOMLOLIIJGFBJ58DA,光明六路東二段６３５號,新竹縣竹北市光明六路東二段６３５號七樓之三,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,七層/十四層,2房2廳1衛,33.4,2340,70.2,0.5,2023-12-15,坡道平面,
高鐵特區,113S3,2024-06-17,六家五路二段,RPQNMLSKPHJGFBJ98DA,六家五路二段１７１號,新竹縣竹北市六家五路二段１７１號二樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,二層/十四層,3房2廳2衛,66.2,3939,74.7,2.1,2022-05-17,坡道平面,
高鐵特區,114S3,2024-06-19,嘉豐二街一段,RPWPMLMJPHKGFBJ56DA,嘉豐二街一段１００巷１９號,新竹縣竹北市嘉豐二街一段１００巷１９號五樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,五層，見其他登記事項/五層,3房2廳3衛,53.6,3636,72.9,-0.6,2025-01-22,一樓平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-22,嘉豐南路二段,RPXOMLTLPHJGFBJ37DA,嘉豐南路二段３３號,新竹縣竹北市嘉豐南路二段３３號二樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,二層/十層,4房2廳2衛,55.9,3800,80.5,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-23,嘉豐南路二段,RPOPMLTLPHJGFBJ56DA,嘉豐南路二段３３號,新竹縣竹北市嘉豐南路二段３３號三樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,三層/十層,4房2廳2衛,55.6,3680,78.3,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-23,嘉豐南路二段,RPSQMLTLPHJGFBJ07DA,嘉豐南路二段３１號,新竹縣竹北市嘉豐南路二段３１號二樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,二層/十層,3房2廳2衛,51.1,3320,78.7,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S3,2024-06-23,嘉豐二街一段,RPVNMLNJPHKGFBJ98DA,嘉豐二街一段１００巷１７號,新竹縣竹北市嘉豐二街一段１００巷１７號五樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,五層，見其他登記事項/五層,2房2廳2衛,43.4,2888,69.8,-0.6,2025-01-22,一樓平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S4,2024-06-23,嘉豐北路,RPWNMLLKRHKGFBJ56DA,嘉豐北路２８號,新竹縣竹北市嘉豐北路２８號九樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,九層/二十三層,2房2廳1衛,37.4,2415,64.6,4.7,2019-10-14,坡道平面,
高鐵特區,114S1,2024-06-25,嘉豐南路二段,RPOPMLTKPHJGFBJ09DA,嘉豐南路二段３５號,新竹縣竹北市嘉豐南路二段３５號二樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,二層/十層,3房2廳2衛,50.9,3266,77.7,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-06-27,嘉豐南路二段,RPOOMLKMQHJGFBJ38DA,嘉豐南路二段３５號,新竹縣竹北市嘉豐南路二段３５號三樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,三層/十層,3房2廳2衛,50.9,3347,79.5,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,113S4,2024-06-28,光明六路東二段,RPQNMLTKRHJGFBJ66DA,光明六路東二段４０９號,新竹縣竹北市光明六路東二段４０９號二十一樓之一,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,二十一層/二十四層,3房2廳2衛,49.0,3300,67.3,0.7,2023-10-30,坡道平面,
高鐵特區,114S1,2024-06-28,嘉豐南路二段,RPQPMLTKPHJGFBJ66DA,嘉豐南路二段３５號,新竹縣竹北市嘉豐南路二段３５號四樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,四層/十層,3房2廳2衛,50.9,3387,80.6,-0.3,2024-10-04,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,113S4,2024-07-03,光明六路東二段,RPPNMLTKRHJGFBJ56DA,光明六路東二段６２９號,新竹縣竹北市光明六路東二段６２９號五樓之二,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,五層/十三層,2房2廳1衛,33.6,2550,75.8,0.6,2023-12-15,坡道平面,
高鐵特區,113S3,2024-07-04,嘉豐北路,RPQNMLMLQHJGFBJ58DA,嘉豐北路３２號,新竹縣竹北市嘉豐北路３２號七樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,七層/二十三層,1房1廳1衛,25.9,1598,61.8,4.8,2019-10-14,坡道機械,
高鐵特區,114S1,2024-07-04,莊敬北路,RPROMLKKKIJGFBJ97DA,莊敬北路２１６號,新竹縣竹北市莊敬北路２１６號二十九樓之六,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,二十九層/二十九層,3房2廳2衛,56.2,3400,60.5,4.4,2020-02-21,坡道平面,
高鐵特區,113S3,2024-07-05,高鐵九路,RPPNMLKMPHJGFBJ38EA,高鐵九路６１巷２５號,新竹縣竹北市高鐵九路６１巷２５號三樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,三層/十二層,3房2廳2衛,49.8,1630,32.8,0.6,2023-12-01,坡道平面,
高鐵特區,113S3,2024-07-12,十興五街,RPWOMLTKQHJGFBJ27DA,十興五街６０號,新竹縣竹北市十興五街６０號五樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,五層/十四層,3房2廳2衛,47.0,3188,67.8,3.8,2020-09-30,坡道平面,其他增建；
高鐵特區,113S3,2024-07-13,隘口六街,RPXOMLTLQHJGFBJ47DA,隘口六街２６２號,新竹縣竹北市隘口六街２６２號七樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,七層/十一層,3房2廳2衛,45.3,2988,65.9,0.9,2023-08-07,坡道平面,
高鐵特區,114S1,2024-07-13,十興路二段,RPTNMLRLKIJGFBJ88DA,十興路二段４６號,新竹縣竹北市十興路二段４６號六樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,六層/十三層,3房2廳2衛,46.9,2590,64.8,-0.3,2024-11-07,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S4,2024-07-13,六家一路一段,RPVOMLMLRHKGFBJ76DA,六家一路一段２５５號,新竹縣竹北市六家一路一段２５５號三樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,三層/十七層,0房0廳0衛,64.7,3957,70.2,-1.1,2025-08-19,坡道平面,毛胚屋；預售屋、或土地及建物分件登記案件；
